waktu_cek,nama_koin,harga_idr
2026-01-20 13:57:20,Bitcoin,1541343963
2026-01-20 13:57:41,Bitcoin,1542181167
2026-01-20 13:57:42,Bitcoin,1542181167
2026-01-20 13:58:04,Bitcoin,1542181167
